county,juris,industry,emp_all
35,Poulsbo,5,1418
35,Unincorporated,5,5096
53,Auburn,5,198
53,Bonney Lake,5,2089
53,Buckley,5,148
53,DuPont,5,66
53,Eatonville,5,89
53,Edgewood,5,101
53,Fife,5,1979
53,Fircrest,5,58
53,Gig Harbor,5,2055
53,Lakewood,5,3146
53,Milton,5,424
53,Orting,5,59
53,Pacific,5,-99
53,Puyallup,5,4828
53,Roy,5,-99
53,Ruston,5,-99
53,South Prairie,5,-99
53,Steilacoom,5,-99
53,Sumner,5,1886
53,Tacoma,5,11338
53,Unincorporated,5,7501
53,University Place,5,1194
61,Arlington,5,1336
61,Bothell,5,818
61,Brier,5,6
61,Darrington,5,-99
61,Edmonds,5,1917
61,Everett,5,6549
61,Gold Bar,5,40
61,Granite Falls,5,129
61,Lake Stevens,5,1086
61,Lynnwood,5,7592
61,Marysville,5,3408
61,Mill Creek,5,971
61,Monroe,5,1586
61,Mountlake Terrace,5,607
61,Mukilteo,5,360
61,Snohomish,5,1447
61,Stanwood,5,486
61,Sultan,5,-99
61,Unincorporated,5,6633
99,Region,5,189537
33,Algona,7,126
33,Auburn,7,4406
33,Beaux Arts,7,-99
33,Bellevue,7,81362
33,Black Diamond,7,169
33,Bothell,7,5463
33,Burien,7,1362
33,Carnation,7,92
33,Clyde Hill,7,372
33,Covington,7,545
33,Des Moines,7,900
33,Duvall,7,348
33,Enumclaw,7,746
33,Federal Way,7,5209
33,Hunts Point,7,86
33,Issaquah,7,10845
33,Kenmore,7,914
33,Kent,7,7102
33,Kirkland,7,21704
33,Lake Forest Park,7,616
33,Maple Valley,7,843
33,Medina,7,316
33,Mercer Island,7,2735
33,Milton,7,-99
33,Newcastle,7,739
33,Normandy Park,7,251
33,North Bend,7,514
33,Pacific,7,285
33,Redmond,7,67050
33,Renton,7,13548
33,Sammamish,7,2441
33,SeaTac,7,4175
33,Seattle,7,271309
33,Shoreline,7,2377
33,Skykomish,7,-99
33,Snoqualmie,7,957
33,Tukwila,7,7946
33,Unincorporated,7,11363
33,Woodinville,7,2579
33,Yarrow Point,7,29
35,Bainbridge Island,7,2597
35,Bremerton,7,2787
35,Port Orchard,7,1241
35,Poulsbo,7,1494
35,Unincorporated,7,7659
53,Auburn,7,220
53,Bonney Lake,7,618
53,Buckley,7,84
53,Carbonado,7,9
53,DuPont,7,1418
53,Eatonville,7,202
53,Edgewood,7,459
53,Fife,7,2282
53,Fircrest,7,700
53,Gig Harbor,7,3147
53,Lakewood,7,3484
53,Milton,7,203
53,Orting,7,267
53,Pacific,7,301
53,Puyallup,7,4099
53,Roy,7,6
53,Ruston,7,23
53,South Prairie,7,7
53,Steilacoom,7,101
53,Sumner,7,1474
53,Tacoma,7,19567
53,Unincorporated,7,12695
53,University Place,7,1239
61,Arlington,7,877
61,Bothell,7,6752
61,Brier,7,216
61,Darrington,7,-99
61,Edmonds,7,3070
61,Everett,7,10004
61,Gold Bar,7,24
61,Granite Falls,7,91
61,Index,7,-99
61,Lake Stevens,7,824
61,Lynnwood,7,5899
61,Marysville,7,1552
61,Mill Creek,7,1493
61,Monroe,7,783
61,Mountlake Terrace,7,4205
61,Mukilteo,7,1562
61,Snohomish,7,1280
61,Stanwood,7,394
