'faz_id','sector_id','home_based_jobs'
6020.00,9,34.00
6113.00,2,31.00
6113.00,3,47.00
6113.00,4,47.00
6113.00,5,174.00
6113.00,7,930.00
6113.00,8,58.00
6113.00,9,133.00
6113.00,10,13.00
6113.00,11,107.00
6113.00,12,126.00
6114.00,1,40.00
6114.00,2,156.00
6114.00,3,102.00
6114.00,4,16.00
6114.00,5,134.00
6114.00,7,733.00
6114.00,8,81.00
6114.00,9,184.00
6114.00,10,10.00
6114.00,11,92.00
6114.00,12,16.00
6115.00,1,24.00
6115.00,2,63.00
6115.00,3,142.00
6115.00,4,30.00
6115.00,5,126.00
6115.00,7,1056.00
6115.00,8,42.00
6115.00,9,99.00
6115.00,10,8.00
6115.00,11,64.00
6115.00,12,40.00
6123.00,2,48.00
6123.00,3,48.00
6123.00,4,39.00
6123.00,5,24.00
6123.00,7,576.00
6123.00,8,17.00
6123.00,9,39.00
6123.00,10,8.00
6123.00,11,64.00
6124.00,2,16.00
6124.00,3,164.00
6124.00,4,141.00
6124.00,5,71.00
6124.00,7,1259.00
6124.00,8,121.00
6124.00,9,278.00
6124.00,10,10.00
6124.00,11,84.00
6124.00,12,24.00
6125.00,2,48.00
6125.00,3,62.00
6125.00,4,31.00
6125.00,5,39.00
6125.00,7,228.00
6125.00,8,8.00
6125.00,9,17.00
6126.00,2,24.00
6126.00,3,134.00
6126.00,4,16.00
6126.00,5,40.00
6126.00,7,432.00
6126.00,8,25.00
6126.00,9,56.00
6126.00,10,3.00
6126.00,11,22.00
6213.00,2,40.00
6213.00,3,71.00
6213.00,4,37.00
6213.00,5,71.00
6213.00,7,631.00
6213.00,8,64.00
6213.00,9,149.00
6213.00,10,12.00
6213.00,11,93.00
6213.00,12,24.00
6214.00,5,31.00
6214.00,7,24.00
6214.00,8,32.00
6214.00,9,72.00
6214.00,10,2.00
6214.00,11,14.00
6215.00,3,48.00
6215.00,4,31.00
6215.00,5,46.00
6215.00,7,565.00
6215.00,8,45.00
6215.00,9,100.00
6215.00,10,5.00
6215.00,11,54.00
6216.00,3,39.00
6216.00,5,87.00
6216.00,7,679.00
6216.00,8,105.00
6216.00,9,238.00
6216.00,10,5.00
6216.00,11,36.00
6216.00,12,79.00
6223.00,2,98.00
6223.00,3,16.00
6223.00,4,71.00
6223.00,7,573.00
6223.00,8,79.00
6223.00,9,178.00
6223.00,10,3.00
6223.00,11,28.00
6223.00,12,24.00
6224.00,3,126.00
6224.00,4,24.00
6224.00,5,117.00
6224.00,7,740.00
6224.00,8,91.00
6224.00,9,205.00
6224.00,10,11.00
6224.00,11,78.00
6224.00,12,31.00
6225.00,4,63.00
6225.00,5,39.00
6225.00,7,195.00
6225.00,8,24.00
6225.00,9,55.00
6225.00,10,6.00
6225.00,11,56.00
6225.00,12,16.00
6226.00,2,24.00
6226.00,3,22.00
6226.00,4,116.00
6226.00,5,119.00
6226.00,7,964.00
6226.00,8,60.00
6226.00,9,133.00
6226.00,10,26.00
6226.00,11,208.00
6226.00,12,16.00
6316.00,1,24.00
6316.00,2,40.00
6316.00,3,158.00
6316.00,4,116.00
6316.00,5,182.00
6316.00,7,703.00
6316.00,8,39.00
6316.00,9,89.00
6316.00,10,32.00
6316.00,11,278.00
6325.00,2,87.00
6325.00,3,268.00
6325.00,4,118.00
6325.00,5,219.00
6325.00,7,898.00
6325.00,8,95.00
6325.00,9,216.00
6325.00,10,21.00
6325.00,11,171.00
6325.00,12,80.00
6326.00,3,71.00
6326.00,4,40.00
6326.00,5,55.00
6326.00,7,300.00
6326.00,8,40.00
6326.00,9,85.00
6326.00,10,3.00
6326.00,11,22.00
6326.00,12,24.00
6410.00,2,71.00
6410.00,3,111.00
6410.00,4,84.00
6410.00,5,259.00
6410.00,7,465.00
6410.00,8,117.00
6410.00,9,266.00
6410.00,10,5.00
6410.00,11,42.00
6410.00,12,16.00
6420.00,1,16.00
6420.00,3,103.00
6420.00,4,63.00
6420.00,5,72.00
6420.00,7,581.00
6420.00,8,139.00
6420.00,9,326.00
6420.00,10,18.00
6420.00,11,148.00
6420.00,12,32.00
6505.00,2,31.00
6505.00,3,62.00
6505.00,4,62.00
6505.00,5,24.00
6505.00,7,268.00
6505.00,8,17.00
6505.00,9,39.00
6505.00,10,8.00
6505.00,11,58.00
6506.00,1,31.00
6506.00,2,6.00
6506.00,3,24.00
6506.00,4,55.00
6506.00,5,24.00
6506.00,7,197.00
6506.00,8,19.00
6506.00,9,44.00
6506.00,12,6.00
6605.00,1,6.00
6605.00,2,87.00
6605.00,3,126.00
6605.00,4,16.00
6605.00,5,47.00
6605.00,7,188.00
6605.00,8,35.00
6605.00,9,78.00
6605.00,10,3.00
6605.00,11,28.00
6606.00,1,6.00
6606.00,2,71.00
6606.00,3,6.00
6606.00,4,55.00
6606.00,5,6.00
6606.00,7,118.00
6606.00,8,5.00
6606.00,9,11.00
6606.00,11,6.00
6900.00,2,16.00
6900.00,3,16.00
6900.00,7,55.00
6900.00,8,9.00
6900.00,9,22.00
6900.00,10,2.00
6900.00,11,14.00
6910.00,1,6.00
6910.00,3,6.00
6910.00,4,16.00
6910.00,5,16.00
6910.00,7,78.00
