'block_id','sector_id','number_of_jobs'
' 53033022605201','3',2.00
' 53033022605201','7',1.00
' 53033022605300','12',5.00
' 53033022605300','13',2.00
' 53033022605300','16',4.00
' 53033022701200','13',4.00
' 53033022703101','7',3.00
' 53033022703103','13',15.00
' 53033022703103','2',1.00
' 53033022801200','11',1.00
' 53033022801200','12',1.00
' 53033022801200','13',7.00
' 53033022801200','14',1.00
' 53033022801200','17',1.00
' 53033022801200','2',2.00
' 53033022801400','11',2.00
' 53033022801400','12',5.00
' 53033022801400','13',6.00
' 53033022801400','14',6.00
' 53033022801400','16',2.00
' 53033022801400','3',2.00
' 53033022802301','14',4.00
' 53033022802301','17',1.00
' 53033022802301','7',1.00
' 53033022803101','11',8.00
' 53033022803101','13',63.00
' 53033022803101','14',1.00
' 53033022803101','17',9.00
' 53033022803101','2',3.00
' 53033022803101','6',7.00
' 53033022803200','12',6.00
' 53033022803200','14',2.00
' 53033022803300','14',8.00
' 53033022803301','13',1.00
' 53033022803304','12',2.00
' 53033022803304','13',13.00
' 53033022803304','16',3.00
' 53033022803304','2',5.00
' 53033022803304','3',1.00
' 53033022803304','6',3.00
' 53033022803304','7',9.00
' 53033022803304','8',4.00
' 53033023201300','11',2.00
' 53033023201300','13',1.00
' 53033023201300','17',18.00
' 53033023201300','2',1.00
' 53033023202300','12',1.00
' 53033023202300','14',1.00
' 53033023202300','16',5.00
' 53033023202300','17',1.00
' 53033023202300','7',6.00
' 53033023300300','12',2.00
' 53033023300300','17',1.00
' 53033023401202','13',6.00
' 53033023401202','2',23.00
' 53033023401202','3',178.00
' 53033023401202','6',25.00
' 53033023401202','7',2.00
' 53033023401202','8',6.00
' 53033023401203','14',11.00
' 53033023401203','17',3.00
' 53033023401203','7',23.00
' 53033023403101','13',1.00
' 53033023403201','11',9.00
' 53033023404101','13',2.00
' 53033023404101','16',1.00
' 53033023601100','12',6.00
' 53033023601100','13',13.00
' 53033023601100','14',1.00
' 53033023601100','16',3.00
' 53033023601100','17',1.00
' 53033023601100','2',1.00
' 53033023601100','6',13.00
' 53033023601100','7',1.00
' 53033023601101','12',3.00
' 53033023601101','13',8.00
' 53033023601101','14',6.00
' 53033023601101','16',11.00
' 53033023601101','17',1.00
' 53033023601101','2',17.00
' 53033023601101','7',5.00
' 53033023601201','12',4.00
' 53033023601201','6',2.00
' 53033023601201','7',128.00
' 53033023601203','2',6.00
' 53033023603100','13',1.00
' 53033023603100','14',3.00
' 53033023603200','17',1.00
' 53033023603300','14',1.00
' 53033023700102','11',4.00
' 53033023700102','12',1.00
' 53033023700102','13',2.00
' 53033023700102','14',3.00
' 53033023700102','15',1.00
' 53033023700102','16',21.00
' 53033023700102','17',2.00
' 53033023700102','2',3.00
' 53033023700102','7',8.00
' 53033023700103','14',80.00
' 53033023700103','6',1.00
' 53033023700103','7',243.00
' 53033023700301','12',20.00
' 53033023700301','13',54.00
' 53033023700301','16',3.00
' 53033023700301','6',44.00
' 53033023700303','11',1.00
' 53033023700303','12',2.00
' 53033023700303','13',19.00
' 53033023700303','14',3.00
' 53033023700303','17',1.00
' 53033023700303','2',14.00
' 53033023700303','3',3.00
' 53033023700303','6',2.00
' 53033023804301','14',4.00
' 53033023804301','16',1.00
' 53033023804301','3',1.00
' 53033023804301','6',1.00
' 53033023900202','7',16.00
' 53033024400201','17',1.00
' 53033024400201','18',49.00
